source_id,time,filter,mag
S251112cm_100Mpc,1.2000000000000002,i,18.247558929762583
S251112cm_100Mpc,1.2000000000000002,r,18.220682023290237
S251112cm_100Mpc,1.2000000000000002,u,19.87421424302517
S251112cm_100Mpc,1.2000000000000002,y,18.268882323132253
S251112cm_100Mpc,1.2000000000000002,z,18.40048980470447
S251112cm_100Mpc,1.3000000000000003,g,18.675962424606432
S251112cm_100Mpc,1.3000000000000003,i,18.202472758554972
S251112cm_100Mpc,1.3000000000000003,r,18.211448281783916
S251112cm_100Mpc,1.3000000000000003,u,19.999939733239216
S251112cm_100Mpc,1.3000000000000003,y,18.15070003840753
S251112cm_100Mpc,1.3000000000000003,z,18.316403244378478
S251112cm_100Mpc,1.4000000000000001,g,18.7202634615521
S251112cm_100Mpc,1.4000000000000001,i,18.18721519976407
S251112cm_100Mpc,1.4000000000000001,r,18.22019915016663
S251112cm_100Mpc,1.4000000000000001,u,20.14586471089953
S251112cm_100Mpc,1.4000000000000001,y,18.078667815702524
S251112cm_100Mpc,1.4000000000000001,z,18.249393790140996
S251112cm_100Mpc,1.5000000000000002,g,18.793710140532298
S251112cm_100Mpc,1.5000000000000002,i,18.18824742888779
S251112cm_100Mpc,1.5000000000000002,r,18.247602902714057
S251112cm_100Mpc,1.5000000000000002,u,20.340310932141936
S251112cm_100Mpc,1.5000000000000002,y,18.030814683050828
S251112cm_100Mpc,1.5000000000000002,z,18.194067729899377
S251112cm_100Mpc,1.6,g,18.8852839454624
S251112cm_100Mpc,1.6,i,18.195997177674073
S251112cm_100Mpc,1.6,r,18.28388525054
S251112cm_100Mpc,1.6,u,20.57909380736134
S251112cm_100Mpc,1.6,y,17.99982195424441
S251112cm_100Mpc,1.6,z,18.169942271746546
S251112cm_100Mpc,1.7000000000000002,g,18.996646762871155
S251112cm_100Mpc,1.7000000000000002,i,18.21263572757232
S251112cm_100Mpc,1.7000000000000002,r,18.335206352594405
S251112cm_100Mpc,1.7000000000000002,u,20.82615825555809
S251112cm_100Mpc,1.7000000000000002,y,17.97416988516587
S251112cm_100Mpc,1.7000000000000002,z,18.175539538702324
S251112cm_100Mpc,1.8000000000000003,g,19.119092358424716
S251112cm_100Mpc,1.8000000000000003,i,18.23798352621018
S251112cm_100Mpc,1.8000000000000003,r,18.40007047734715
S251112cm_100Mpc,1.8000000000000003,u,21.016702388397484
S251112cm_100Mpc,1.8000000000000003,y,17.94938764890781
S251112cm_100Mpc,1.8000000000000003,z,18.19742733168852
S251112cm_100Mpc,1.9000000000000001,g,19.230285609248362
S251112cm_100Mpc,1.9000000000000001,i,18.26513473474497
S251112cm_100Mpc,1.9000000000000001,r,18.46087216410697
S251112cm_100Mpc,1.9000000000000001,u,21.162930742131337
S251112cm_100Mpc,1.9000000000000001,y,17.93812197352172
S251112cm_100Mpc,1.9000000000000001,z,18.220795023275578
S251112cm_100Mpc,2.0,g,19.33393586033621
S251112cm_100Mpc,2.0,i,18.306767301181836
S251112cm_100Mpc,2.0,r,18.524230954252648
S251112cm_100Mpc,2.0,u,21.305798454986558
S251112cm_100Mpc,2.0,y,17.95399621925166
S251112cm_100Mpc,2.0,z,18.253615059329483
S251112cm_100Mpc,2.1,g,19.451480160420843
S251112cm_100Mpc,2.1,i,18.38126687876048
S251112cm_100Mpc,2.1,r,18.61146439943299
S251112cm_100Mpc,2.1,u,21.462668606527004
S251112cm_100Mpc,2.1,y,17.999023333013184
S251112cm_100Mpc,2.1,z,18.31032402240197
S251112cm_100Mpc,2.2,g,19.59126276180723
S251112cm_100Mpc,2.2,i,18.483410871821754
S251112cm_100Mpc,2.2,r,18.723146153569672
S251112cm_100Mpc,2.2,u,21.64127213396946
S251112cm_100Mpc,2.2,y,18.063371102414017
S251112cm_100Mpc,2.2,z,18.39055497767249
S251112cm_100Mpc,2.3000000000000003,g,19.73699638718375
S251112cm_100Mpc,2.3000000000000003,i,18.582957865406243
S251112cm_100Mpc,2.3000000000000003,r,18.834797868425436
S251112cm_100Mpc,2.3000000000000003,u,21.829493087237864
S251112cm_100Mpc,2.3000000000000003,y,18.126552058427663
S251112cm_100Mpc,2.3000000000000003,z,18.472875776755224
S251112cm_100Mpc,2.4000000000000004,g,19.885777843190105
S251112cm_100Mpc,2.4000000000000004,i,18.67327706804062
S251112cm_100Mpc,2.4000000000000004,r,18.94380820219021
S251112cm_100Mpc,2.4000000000000004,u,22.017604193534282
S251112cm_100Mpc,2.4000000000000004,y,18.183471592456424
S251112cm_100Mpc,2.4000000000000004,z,18.551093662828524
S251112cm_100Mpc,2.5000000000000004,g,20.044309121528407
S251112cm_100Mpc,2.5000000000000004,i,18.768181862415055
S251112cm_100Mpc,2.5000000000000004,r,19.06468420783758
S251112cm_100Mpc,2.5000000000000004,u,22.209259471805783
S251112cm_100Mpc,2.5000000000000004,y,18.244490724251555
S251112cm_100Mpc,2.5000000000000004,z,18.637482214561402
S251112cm_100Mpc,2.6,g,20.21064879344581
S251112cm_100Mpc,2.6,i,18.875885988954202
S251112cm_100Mpc,2.6,r,19.205228203115833
S251112cm_100Mpc,2.6,u,22.404699493803484
S251112cm_100Mpc,2.6,y,18.313842707589817
S251112cm_100Mpc,2.6,z,18.73661415847318
S251112cm_100Mpc,2.7,g,20.374201323892137
S251112cm_100Mpc,2.7,i,18.99142186388902
S251112cm_100Mpc,2.7,r,19.3578545937388
S251112cm_100Mpc,2.7,u,22.589596381953054
S251112cm_100Mpc,2.7,y,18.38414023247939
S251112cm_100Mpc,2.7,z,18.837943054913552
S251112cm_100Mpc,2.8000000000000003,g,20.52736941065198
S251112cm_100Mpc,2.8000000000000003,i,19.10362066874959
S251112cm_100Mpc,2.8000000000000003,r,19.50663635941879
S251112cm_100Mpc,2.8000000000000003,u,22.751215245517635
S251112cm_100Mpc,2.8000000000000003,y,18.448570590857674
S251112cm_100Mpc,2.8000000000000003,z,18.929562400188534
S251112cm_100Mpc,2.9000000000000004,g,20.670354948911598
S251112cm_100Mpc,2.9000000000000004,i,19.20661850200497
S251112cm_100Mpc,2.9000000000000004,r,19.64170774652223
S251112cm_100Mpc,2.9000000000000004,u,22.89028519087719
S251112cm_100Mpc,2.9000000000000004,y,18.50714149696233
S251112cm_100Mpc,2.9000000000000004,z,19.007998181669794
S251112cm_100Mpc,3.0000000000000004,g,20.808348220416544
S251112cm_100Mpc,3.0000000000000004,i,19.30393065907376
S251112cm_100Mpc,3.0000000000000004,r,19.765261381349426
S251112cm_100Mpc,3.0000000000000004,u,23.01813068812941
S251112cm_100Mpc,3.0000000000000004,y,18.56446643103257
S251112cm_100Mpc,3.0000000000000004,z,19.07782043396094
S251112cm_100Mpc,3.1,g,20.94361887620886
S251112cm_100Mpc,3.1,i,19.399598797983778
S251112cm_100Mpc,3.1,r,19.881662659261394
S251112cm_100Mpc,3.1,u,23.14385372657658
S251112cm_100Mpc,3.1,y,18.62335526956256
S251112cm_100Mpc,3.1,z,19.144532528836994
S251112cm_100Mpc,3.2,g,21.070585921583096
S251112cm_100Mpc,3.2,i,19.49053245839645
S251112cm_100Mpc,3.2,r,19.988589634376154
S251112cm_100Mpc,3.2,u,23.264930800860288
S251112cm_100Mpc,3.2,y,18.68073745730252
S251112cm_100Mpc,3.2,z,19.209458222804656
S251112cm_100Mpc,3.3000000000000003,g,21.18465629899787
S251112cm_100Mpc,3.3000000000000003,i,19.572712691439477
S251112cm_100Mpc,3.3000000000000003,r,20.083078780324445
S251112cm_100Mpc,3.3000000000000003,u,23.376667080454133
S251112cm_100Mpc,3.3000000000000003,y,18.733337062914277
S251112cm_100Mpc,3.3000000000000003,z,19.272651977877302
S251112cm_100Mpc,3.4000000000000004,g,21.289873162895752
S251112cm_100Mpc,3.4000000000000004,i,19.64802055812325
S251112cm_100Mpc,3.4000000000000004,r,20.168379149203474
S251112cm_100Mpc,3.4000000000000004,u,23.482005421256552
